,City,Country,Date,Latitude,Longitude,Max Temp,Cloudiness,Humidity,Wind Speed
0,Atuona,PF,1569413196,-9.8,-139.03,79.35,16,78,22.37
1,Castro,CL,1569413196,-42.48,-73.76,48.2,90,100,6.93
2,Jamestown,AU,1569413197,-33.21,138.6,49.47,82,81,3.15
3,New Norfolk,AU,1569413198,-42.78,147.06,51.8,40,62,11.41
4,Vaini,IN,1569413198,15.34,74.49,82.4,40,74,9.17
5,Ponta do Sol,BR,1569413198,-20.63,-46.0,68.74,71,60,4.79
6,Swan River,CA,1569412934,52.11,-101.27,37.05,66,81,11.32
7,Qaanaaq,GL,1569413199,77.48,-69.36,19.95,100,81,8.23
8,Sao Joao da Barra,BR,1569413199,-21.64,-41.05,68.0,90,77,1.14
9,Albany,US,1569413129,42.65,-73.75,54.0,90,100,3.85
10,Sitka,US,1569413200,37.17,-99.65,64.0,0,87,11.99
11,Baran,IN,1569413201,25.1,76.52,80.25,96,86,8.23
12,Gao,ML,1569413201,16.28,-0.04,102.94,0,14,6.82
13,Los Llanos de Aridane,ES,1569413202,28.66,-17.92,77.0,20,65,16.11
14,Necochea,AR,1569413202,-38.55,-58.74,55.99,0,80,5.01
15,Cape Town,ZA,1569413110,-33.93,18.42,84.0,0,28,9.17
16,Homer,US,1569413203,59.64,-151.54,50.0,1,75,13.87
17,Georgetown,GY,1569413204,6.8,-58.16,82.4,75,83,4.7
18,Khatanga,RU,1569413204,71.98,102.47,37.24,100,92,14.92
19,Busselton,AU,1569413204,-33.64,115.35,57.99,100,51,8.93
20,Santa Fe,AR,1569413205,-31.62,-60.7,66.0,0,54,2.1
21,Kibala,TD,1569413205,9.11,18.35,82.4,40,69,6.93
22,Rikitea,PF,1569413206,-23.12,-134.97,70.9,3,71,9.17
23,Klyuchi,RU,1569413207,52.25,79.17,51.82,57,32,5.97
24,Melfi,IT,1569413208,41.0,15.66,78.8,20,50,4.7
25,Narsaq,GL,1569413208,60.91,-46.05,37.4,20,74,2.24
26,Jalu,LY,1569413208,29.03,21.55,99.34,0,15,17.34
27,Ambon,FR,1569413209,47.55,-2.56,62.01,90,93,9.17
28,Kavieng,PG,1569413210,-2.57,150.8,83.5,56,76,9.62
29,Cabedelo,BR,1569413210,-6.97,-34.84,80.6,40,69,14.99
30,Yellowknife,CA,1569413210,62.45,-114.38,37.4,75,93,9.17
31,Hilo,US,1569413211,19.71,-155.08,73.4,1,69,6.93
32,Nizhniy Baskunchak,RU,1569413211,48.22,46.83,57.22,0,28,7.25
33,Kapaa,US,1569413042,22.08,-159.32,78.8,90,88,3.36
34,Ribeira Grande,PT,1569413212,38.52,-28.7,73.4,40,78,9.17
35,Cockburn Town,TC,1569413212,21.46,-71.14,82.05,85,72,0.92
36,Saint-Augustin,CA,1569413213,45.63,-73.98,55.0,90,87,3.36
37,Shaunavon,CA,1569413213,49.65,-108.41,46.42,34,67,10.8
38,Bambous Virieux,MU,1569413214,-20.34,57.76,80.6,40,65,12.75
39,Bonavista,CA,1569413214,48.65,-53.11,46.0,100,85,8.01
40,Sumbe,AO,1569413214,-11.2,13.84,74.32,82,84,7.85
41,Butaritari,KI,1569413215,3.07,172.79,83.32,94,75,15.5
42,Mataura,NZ,1569413216,-46.19,168.86,41.0,92,73,21.99
43,Ostrovnoy,RU,1569413216,68.05,39.51,37.6,100,92,19.24
44,Payo,ID,1569413216,-3.75,103.64,73.6,72,75,3.4
45,Ushuaia,AR,1569413129,-54.81,-68.31,42.8,40,81,5.82
46,Porto Novo,BR,1569413217,-23.68,-45.44,62.6,75,82,5.82
47,Veraval,FR,1569413217,49.65,0.71,64.0,90,82,12.75
48,Pocao de Pedras,BR,1569413218,-4.67,-44.85,82.42,87,72,3.15
49,Bluff,AU,1569413219,-23.58,149.07,64.95,0,69,9.62
50,Bredasdorp,ZA,1569413219,-34.53,20.04,69.8,0,40,17.22
51,Tura,RU,1569413220,64.27,100.22,34.72,98,93,4.72
52,Saldanha,PT,1569413220,41.42,-6.55,67.47,11,45,8.12
53,Chapais,CA,1569413220,49.78,-74.86,46.4,90,93,9.17
54,Hobart,AU,1569413204,-42.88,147.33,51.8,40,62,11.41
55,Young,UY,1569413261,-32.7,-57.63,66.99,0,48,1.99
56,Qianguo,CN,1569413262,45.12,124.86,64.05,19,67,6.67
57,Saint George,GR,1569413262,39.45,22.34,78.8,20,47,6.93
58,Arraial do Cabo,BR,1569413263,-22.97,-42.02,69.8,75,88,9.17
59,Bathsheba,BB,1569413263,13.22,-59.52,84.2,40,74,10.29
60,Kang,BW,1569413264,-23.67,22.79,81.87,0,26,19.19
61,Kununurra,AU,1569413265,-15.77,128.74,75.2,0,38,5.48
62,Yichun,CN,1569413266,27.8,114.38,72.34,100,43,3.0
63,Barrow,AR,1569413266,-38.31,-60.23,61.35,20,51,4.0
64,Amurzet,CN,1569413266,47.69,131.09,42.27,2,67,4.43
65,Luganville,VU,1569413267,-15.51,167.18,68.55,100,90,3.38
66,Upata,VE,1569413268,8.02,-62.41,80.01,6,79,6.31
67,Saskylakh,RU,1569413268,71.97,114.09,35.25,62,87,10.09
68,Goderich,CA,1569413268,43.74,-81.71,64.0,51,89,23.29
69,Tuktoyaktuk,CA,1569413269,69.44,-133.03,39.22,74,82,7.99
70,Locri,IT,1569413269,38.24,16.26,82.0,75,65,9.17
71,Pangody,RU,1569413270,65.85,74.49,35.07,96,95,20.65
72,Westport,US,1569413270,41.14,-73.36,62.01,1,76,4.7
73,Massena,US,1569413271,44.93,-74.89,50.0,20,100,4.52
74,Hobyo,SO,1569413271,5.35,48.53,87.27,48,49,28.01
75,Curup,ID,1569413271,-3.47,102.53,68.55,80,95,2.59
76,Namibe,AO,1569413271,-15.19,12.15,70.35,3,88,14.23
77,Marsa Matruh,EG,1569413272,31.35,27.25,87.8,0,40,13.87
78,Flinders,AU,1569413272,-34.58,150.85,61.0,75,71,5.82
79,Mahebourg,MU,1569413273,-20.41,57.7,80.6,40,65,12.75
80,Pangkalanbuun,ID,1569413273,-2.68,111.62,81.34,37,63,5.08
81,Faya,SA,1569413273,18.39,42.45,84.2,40,12,13.87
82,Golden,US,1569413130,39.76,-105.22,57.2,1,35,10.29
83,Verkhnetulomskiy,RU,1569413274,68.61,31.8,37.4,75,86,6.71
84,Saint-Joseph,FR,1569413275,43.56,6.97,84.2,0,37,11.41
85,Punta Arenas,CL,1569413275,-53.16,-70.91,46.0,40,81,17.22
86,Kisangani,CD,1569413276,0.52,25.21,77.0,75,83,4.7
87,Grindavik,IS,1569413276,63.84,-22.43,57.2,90,93,16.11
88,Ust-Nera,RU,1569413277,64.57,143.24,21.75,10,67,5.32
89,Charters Towers,AU,1569413277,-20.07,146.27,63.7,0,87,8.72
90,Calamar,CO,1569413277,1.96,-72.65,70.35,73,90,3.56
91,Thompson,CA,1569413278,55.74,-97.86,44.6,90,70,13.87
92,Okakarara,NA,1569413278,-20.59,17.46,86.55,0,5,13.38
93,Sulangan,PH,1569413279,11.14,123.72,83.32,63,75,5.3
94,Nanortalik,GL,1569413279,60.14,-45.24,44.44,1,71,2.86
95,Gorshechnoye,RU,1569413280,51.52,38.03,51.27,0,38,4.0
96,Dezful,IR,1569413280,32.38,48.4,108.52,0,4,11.39
97,Doka,SD,1569413281,13.52,35.76,90.52,9,52,0.96
98,Chauk,MM,1569413281,20.89,94.82,74.67,100,85,7.78
99,Faanui,PF,1569413281,-16.48,-151.75,78.45,49,78,18.01
100,Zvishavane,ZW,1569413282,-20.32,30.05,54.87,100,74,16.53
101,Kavaratti,IN,1569413128,10.57,72.64,81.87,100,73,9.51
102,Vardo,US,1569413283,39.62,-77.74,57.99,1,87,1.99
103,Parry Sound,CA,1569413283,45.34,-80.04,57.0,64,93,19.95
104,Geraldton,CA,1569413224,49.72,-86.95,55.4,90,93,10.29
105,Upernavik,GL,1569413284,72.79,-56.15,35.44,94,80,3.76
106,Naron,ES,1569413285,43.52,-8.15,70.0,75,64,10.29
107,Canakkale,TR,1569413285,40.15,26.41,77.0,20,57,13.87
108,Palanga,RO,1569413285,44.45,25.08,73.99,81,51,7.74
109,Luanda,AO,1569413327,-8.83,13.24,80.6,75,74,6.93
110,Hermanus,ZA,1569413327,-34.42,19.24,84.0,0,32,3.0
